node1
Files already downloaded and verified
Files already downloaded and verified
Epoch 1/300: SAM Test Error: 60.09%
Epoch 2/300: SAM Test Error: 38.36%
Epoch 3/300: SAM Test Error: 32.16%
Epoch 4/300: SAM Test Error: 25.16%
Epoch 5/300: SAM Test Error: 21.45%
Epoch 6/300: SAM Test Error: 23.09%
Epoch 7/300: SAM Test Error: 21.59%
Epoch 8/300: SAM Test Error: 20.17%
Epoch 9/300: SAM Test Error: 17.36%
Epoch 10/300: SAM Test Error: 17.41%
Models saved at epoch 10
Epoch 11/300: SAM Test Error: 20.74%
Epoch 12/300: SAM Test Error: 14.65%
Epoch 13/300: SAM Test Error: 19.69%
Epoch 14/300: SAM Test Error: 16.22%
Epoch 15/300: SAM Test Error: 15.07%
Epoch 16/300: SAM Test Error: 13.78%
Epoch 17/300: SAM Test Error: 17.38%
Epoch 18/300: SAM Test Error: 15.32%
Epoch 19/300: SAM Test Error: 12.11%
Epoch 20/300: SAM Test Error: 16.02%
Models saved at epoch 20
Epoch 21/300: SAM Test Error: 14.35%
Epoch 22/300: SAM Test Error: 15.86%
Epoch 23/300: SAM Test Error: 12.96%
Epoch 24/300: SAM Test Error: 13.87%
Epoch 25/300: SAM Test Error: 15.08%
Epoch 26/300: SAM Test Error: 12.98%
Epoch 27/300: SAM Test Error: 13.71%
Epoch 28/300: SAM Test Error: 15.53%
Epoch 29/300: SAM Test Error: 13.54%
Epoch 30/300: SAM Test Error: 13.17%
Models saved at epoch 30
Epoch 31/300: SAM Test Error: 14.93%
Epoch 32/300: SAM Test Error: 16.42%
Epoch 33/300: SAM Test Error: 13.88%
Epoch 34/300: SAM Test Error: 15.95%
Epoch 35/300: SAM Test Error: 12.50%
Epoch 36/300: SAM Test Error: 15.64%
Epoch 37/300: SAM Test Error: 12.76%
Epoch 38/300: SAM Test Error: 11.89%
Epoch 39/300: SAM Test Error: 13.36%
Epoch 40/300: SAM Test Error: 11.92%
Models saved at epoch 40
Epoch 41/300: SAM Test Error: 12.16%
Epoch 42/300: SAM Test Error: 12.66%
Epoch 43/300: SAM Test Error: 12.58%
Epoch 44/300: SAM Test Error: 14.01%
Epoch 45/300: SAM Test Error: 13.22%
Epoch 46/300: SAM Test Error: 13.06%
Epoch 47/300: SAM Test Error: 13.29%
Epoch 48/300: SAM Test Error: 11.83%
Epoch 49/300: SAM Test Error: 12.29%
Epoch 50/300: SAM Test Error: 15.42%
Models saved at epoch 50
Epoch 51/300: SAM Test Error: 15.74%
Epoch 52/300: SAM Test Error: 12.22%
Epoch 53/300: SAM Test Error: 14.64%
Epoch 54/300: SAM Test Error: 12.00%
Epoch 55/300: SAM Test Error: 11.42%
Epoch 56/300: SAM Test Error: 12.49%
Epoch 57/300: SAM Test Error: 10.83%
Epoch 58/300: SAM Test Error: 11.64%
Epoch 59/300: SAM Test Error: 13.26%
Epoch 60/300: SAM Test Error: 13.10%
Models saved at epoch 60
Epoch 61/300: SAM Test Error: 13.83%
Epoch 62/300: SAM Test Error: 10.84%
Epoch 63/300: SAM Test Error: 11.65%
Epoch 64/300: SAM Test Error: 14.63%
Epoch 65/300: SAM Test Error: 13.48%
Epoch 66/300: SAM Test Error: 12.74%
Epoch 67/300: SAM Test Error: 10.94%
Epoch 68/300: SAM Test Error: 10.87%
Epoch 69/300: SAM Test Error: 11.45%
Epoch 70/300: SAM Test Error: 11.25%
Models saved at epoch 70
Epoch 71/300: SAM Test Error: 12.08%
Epoch 72/300: SAM Test Error: 12.77%
Epoch 73/300: SAM Test Error: 12.73%
Epoch 74/300: SAM Test Error: 10.49%
Epoch 75/300: SAM Test Error: 14.00%
Epoch 76/300: SAM Test Error: 11.01%
Epoch 77/300: SAM Test Error: 11.94%
Epoch 78/300: SAM Test Error: 11.58%
Epoch 79/300: SAM Test Error: 12.58%
Epoch 80/300: SAM Test Error: 13.31%
Models saved at epoch 80
Epoch 81/300: SAM Test Error: 10.09%
Epoch 82/300: SAM Test Error: 12.11%
Epoch 83/300: SAM Test Error: 10.90%
Epoch 84/300: SAM Test Error: 11.96%
Epoch 85/300: SAM Test Error: 13.30%
Epoch 86/300: SAM Test Error: 12.62%
Epoch 87/300: SAM Test Error: 10.24%
Epoch 88/300: SAM Test Error: 13.83%
Epoch 89/300: SAM Test Error: 12.14%
Epoch 90/300: SAM Test Error: 14.47%
Models saved at epoch 90
Epoch 91/300: SAM Test Error: 11.04%
Epoch 92/300: SAM Test Error: 10.26%
Epoch 93/300: SAM Test Error: 9.68%
Epoch 94/300: SAM Test Error: 12.55%
Epoch 95/300: SAM Test Error: 12.64%
Epoch 96/300: SAM Test Error: 11.57%
Epoch 97/300: SAM Test Error: 10.66%
Epoch 98/300: SAM Test Error: 13.68%
Epoch 99/300: SAM Test Error: 10.79%
Epoch 100/300: SAM Test Error: 12.32%
Models saved at epoch 100
Epoch 101/300: SAM Test Error: 10.48%
Epoch 102/300: SAM Test Error: 12.50%
Epoch 103/300: SAM Test Error: 11.64%
Epoch 104/300: SAM Test Error: 10.97%
Epoch 105/300: SAM Test Error: 12.93%
Epoch 106/300: SAM Test Error: 11.18%
Epoch 107/300: SAM Test Error: 11.87%
Epoch 108/300: SAM Test Error: 10.77%
Epoch 109/300: SAM Test Error: 11.64%
Epoch 110/300: SAM Test Error: 12.13%
Models saved at epoch 110
Epoch 111/300: SAM Test Error: 12.57%
Epoch 112/300: SAM Test Error: 8.85%
Epoch 113/300: SAM Test Error: 14.10%
Epoch 114/300: SAM Test Error: 10.92%
Epoch 115/300: SAM Test Error: 9.31%
Epoch 116/300: SAM Test Error: 11.25%
Epoch 117/300: SAM Test Error: 8.74%
Epoch 118/300: SAM Test Error: 11.33%
Epoch 119/300: SAM Test Error: 10.89%
Epoch 120/300: SAM Test Error: 10.27%
Models saved at epoch 120
Epoch 121/300: SAM Test Error: 9.61%
Epoch 122/300: SAM Test Error: 10.45%
Epoch 123/300: SAM Test Error: 9.87%
Epoch 124/300: SAM Test Error: 9.42%
Epoch 125/300: SAM Test Error: 10.04%
Epoch 126/300: SAM Test Error: 9.54%
Epoch 127/300: SAM Test Error: 8.92%
Epoch 128/300: SAM Test Error: 9.38%
Epoch 129/300: SAM Test Error: 10.18%
Epoch 130/300: SAM Test Error: 8.62%
Models saved at epoch 130
Epoch 131/300: SAM Test Error: 9.01%
Epoch 132/300: SAM Test Error: 9.73%
Epoch 133/300: SAM Test Error: 9.73%
Epoch 134/300: SAM Test Error: 11.50%
Epoch 135/300: SAM Test Error: 10.97%
Epoch 136/300: SAM Test Error: 9.61%
Epoch 137/300: SAM Test Error: 10.05%
