node1
Files already downloaded and verified
Files already downloaded and verified
Epoch 1/300: SGD Test Error: 49.72%
Epoch 2/300: SGD Test Error: 42.74%
Epoch 3/300: SGD Test Error: 33.70%
Epoch 4/300: SGD Test Error: 24.66%
Epoch 5/300: SGD Test Error: 27.73%
Epoch 6/300: SGD Test Error: 22.42%
Epoch 7/300: SGD Test Error: 25.57%
Epoch 8/300: SGD Test Error: 21.24%
Epoch 9/300: SGD Test Error: 18.75%
Epoch 10/300: SGD Test Error: 16.96%
Models saved at epoch 10
Epoch 11/300: SGD Test Error: 19.19%
Epoch 12/300: SGD Test Error: 24.71%
Epoch 13/300: SGD Test Error: 18.63%
Epoch 14/300: SGD Test Error: 15.80%
Epoch 15/300: SGD Test Error: 23.23%
Epoch 16/300: SGD Test Error: 18.06%
Epoch 17/300: SGD Test Error: 22.05%
Epoch 18/300: SGD Test Error: 16.99%
Epoch 19/300: SGD Test Error: 16.90%
Epoch 20/300: SGD Test Error: 20.10%
Models saved at epoch 20
Epoch 21/300: SGD Test Error: 21.88%
Epoch 22/300: SGD Test Error: 18.36%
Epoch 23/300: SGD Test Error: 21.48%
Epoch 24/300: SGD Test Error: 15.11%
Epoch 25/300: SGD Test Error: 26.23%
Epoch 26/300: SGD Test Error: 14.18%
Epoch 27/300: SGD Test Error: 12.86%
Epoch 28/300: SGD Test Error: 13.52%
Epoch 29/300: SGD Test Error: 15.29%
Epoch 30/300: SGD Test Error: 15.53%
Models saved at epoch 30
Epoch 31/300: SGD Test Error: 13.60%
Epoch 32/300: SGD Test Error: 16.07%
Epoch 33/300: SGD Test Error: 12.66%
Epoch 34/300: SGD Test Error: 14.11%
Epoch 35/300: SGD Test Error: 15.03%
Epoch 36/300: SGD Test Error: 18.76%
Epoch 37/300: SGD Test Error: 16.74%
Epoch 38/300: SGD Test Error: 12.97%
Epoch 39/300: SGD Test Error: 14.13%
Epoch 40/300: SGD Test Error: 12.77%
Models saved at epoch 40
Epoch 41/300: SGD Test Error: 13.15%
Epoch 42/300: SGD Test Error: 13.97%
Epoch 43/300: SGD Test Error: 14.41%
Epoch 44/300: SGD Test Error: 20.75%
Epoch 45/300: SGD Test Error: 14.85%
Epoch 46/300: SGD Test Error: 13.07%
Epoch 47/300: SGD Test Error: 13.71%
Epoch 48/300: SGD Test Error: 16.10%
Epoch 49/300: SGD Test Error: 14.37%
Epoch 50/300: SGD Test Error: 15.69%
Models saved at epoch 50
Epoch 51/300: SGD Test Error: 22.33%
Epoch 52/300: SGD Test Error: 15.80%
Epoch 53/300: SGD Test Error: 14.01%
Epoch 54/300: SGD Test Error: 13.43%
Epoch 55/300: SGD Test Error: 12.66%
Epoch 56/300: SGD Test Error: 14.61%
Epoch 57/300: SGD Test Error: 13.69%
Epoch 58/300: SGD Test Error: 14.23%
Epoch 59/300: SGD Test Error: 19.96%
Epoch 60/300: SGD Test Error: 14.58%
Models saved at epoch 60
Epoch 61/300: SGD Test Error: 12.19%
Epoch 62/300: SGD Test Error: 15.38%
Epoch 63/300: SGD Test Error: 19.35%
Epoch 64/300: SGD Test Error: 13.22%
Epoch 65/300: SGD Test Error: 10.70%
Epoch 66/300: SGD Test Error: 18.29%
Epoch 67/300: SGD Test Error: 17.60%
Epoch 68/300: SGD Test Error: 12.72%
Epoch 69/300: SGD Test Error: 15.47%
Epoch 70/300: SGD Test Error: 12.89%
Models saved at epoch 70
Epoch 71/300: SGD Test Error: 13.50%
Epoch 72/300: SGD Test Error: 20.98%
Epoch 73/300: SGD Test Error: 16.97%
Epoch 74/300: SGD Test Error: 14.69%
Epoch 75/300: SGD Test Error: 12.61%
Epoch 76/300: SGD Test Error: 12.88%
Epoch 77/300: SGD Test Error: 16.35%
Epoch 78/300: SGD Test Error: 12.48%
Epoch 79/300: SGD Test Error: 12.27%
Epoch 80/300: SGD Test Error: 12.24%
Models saved at epoch 80
Epoch 81/300: SGD Test Error: 11.15%
Epoch 82/300: SGD Test Error: 11.50%
Epoch 83/300: SGD Test Error: 11.73%
Epoch 84/300: SGD Test Error: 13.61%
Epoch 85/300: SGD Test Error: 16.51%
Epoch 86/300: SGD Test Error: 10.60%
Epoch 87/300: SGD Test Error: 12.87%
Epoch 88/300: SGD Test Error: 11.43%
